sport,city_tier,num_teams,num_matches,venue_capacity,team_size,tournament_days,has_existing_sponsor,format,sponsorship_tier,estimated_reach,cost_per_person,players_reach,family_reach,venue_reach,wom_reach,social_reach
badminton,1,24,276,1650,2,5,0,league,gold,17071,1.46,48,71,4426,2898,2673
badminton,3,20,190,400,2,2,0,league,silver,1675,8.96,40,55,291,796,59
football,2,8,17,300,11,3,0,league+knockout,bronze,2356,2.97,88,172,531,291,269
basketball,1,20,19,1050,5,1,0,knockout,gold,2396,10.43,100,165,736,298,368
kabaddi,1,16,15,1550,7,2,1,knockout,bronze,3831,1.83,112,194,1888,200,1407
kabaddi,3,16,15,300,7,2,1,knockout,silver,974,15.4,112,194,257,97,65
football,3,8,7,500,11,2,0,knockout,silver,1401,10.71,88,140,506,86,114
football,1,8,17,750,11,6,1,league+knockout,silver,14067,1.07,88,179,3120,384,1631
kabaddi,3,4,3,500,7,2,1,knockout,bronze,601,11.65,28,40,399,24,105
football,3,16,120,50,11,4,0,league,bronze,2963,2.36,176,283,104,1329,59
badminton,1,8,7,1600,2,2,0,knockout,silver,3272,4.58,16,25,1976,73,1182
basketball,1,12,11,800,5,2,0,knockout,silver,2421,6.2,60,95,1041,139,770
basketball,2,16,67,650,5,3,0,league+knockout,silver,3743,4.01,80,137,940,488,455
badminton,1,8,28,1850,2,4,0,league,silver,10191,1.47,16,21,4337,306,2869
volleyball,2,16,120,200,6,5,0,league,bronze,1870,3.74,96,118,498,1031,201
badminton,2,16,67,900,2,4,0,league+knockout,gold,5109,4.89,32,50,1524,520,511
badminton,2,12,66,500,2,3,0,league,bronze,1788,3.91,24,34,840,480,388
volleyball,2,32,496,450,6,4,0,league,gold,8165,3.06,192,246,768,3475,412
football,2,6,5,500,11,2,0,knockout,bronze,1400,5.0,66,136,672,66,304
badminton,2,8,28,750,2,5,0,league,platinum,5986,8.35,16,19,2015,188,718
basketball,1,12,11,1200,5,1,0,knockout,silver,1657,9.05,60,91,750,161,379
cricket,1,16,15,550,11,2,1,knockout,bronze,3688,1.9,176,411,780,485,587
kabaddi,1,6,5,1750,7,2,1,knockout,gold,7599,3.29,42,73,2671,95,1642
volleyball,1,24,276,1750,6,3,1,league,bronze,7072,0.99,144,195,2635,2394,1197
kabaddi,1,12,66,1450,7,3,0,league,bronze,7201,0.97,84,118,2719,1262,1744
basketball,2,16,120,450,5,2,0,league,gold,4380,5.71,80,126,447,1370,234
volleyball,2,8,17,200,6,3,0,league+knockout,silver,876,17.12,48,61,244,149,93
basketball,3,8,17,350,5,5,0,league+knockout,silver,1845,8.13,40,56,706,102,131
basketball,1,16,120,1450,5,2,1,league,silver,7830,1.92,80,103,1604,1747,969
volleyball,1,16,120,1600,6,4,0,league,platinum,13033,3.84,96,122,3354,1412,1791
kabaddi,1,12,11,700,7,2,0,knockout,silver,2539,5.91,84,127,995,188,722
kabaddi,1,16,15,1250,7,1,0,knockout,gold,2454,10.19,112,166,725,205,428
basketball,2,24,149,750,5,5,0,league+knockout,bronze,6775,1.03,120,162,2266,1407,1113
kabaddi,1,14,51,750,7,5,0,league+knockout,bronze,7463,0.94,98,147,2571,914,1620
badminton,2,12,38,900,2,5,1,league+knockout,bronze,4125,1.7,24,32,2153,283,676
basketball,1,12,11,2000,5,1,0,knockout,silver,2651,5.66,60,79,1240,186,740
badminton,3,14,13,50,2,1,0,knockout,silver,152,98.68,28,37,19,57,11
basketball,1,10,26,1550,5,5,0,league+knockout,silver,14962,1.0,50,75,5022,352,2895
kabaddi,3,16,15,350,7,2,1,knockout,bronze,796,8.79,112,191,317,77,93
volleyball,3,16,67,350,6,6,0,league+knockout,silver,2244,6.68,96,135,787,353,153
volleyball,1,16,120,1200,6,4,0,league,gold,8719,2.87,96,126,2480,1225,1512
kabaddi,3,6,15,150,7,4,1,league,gold,1229,20.34,42,67,247,124,62
basketball,2,20,19,800,5,2,0,knockout,silver,1689,8.88,100,136,769,188,276
badminton,3,16,120,300,2,4,0,league,silver,1584,9.47,32,51,488,483,119
basketball,2,20,104,950,5,4,0,league+knockout,bronze,5476,1.28,100,140,2120,922,814
badminton,2,20,19,700,2,2,0,knockout,gold,1552,16.11,40,58,711,119,314
basketball,1,8,7,1250,5,1,1,knockout,gold,2510,9.96,40,53,926,118,422
volleyball,3,14,51,200,6,5,0,league+knockout,gold,1673,14.94,84,98,392,247,88
volleyball,2,24,149,350,6,3,1,league+knockout,gold,4987,5.01,144,188,478,1307,302
badminton,3,16,15,200,2,2,0,knockout,gold,431,58.0,32,47,153,81,32
basketball,2,8,7,600,5,2,1,knockout,gold,1631,15.33,40,51,595,60,267
football,1,24,149,1350,11,5,0,league+knockout,bronze,17896,0.39,264,499,4331,2909,2260
football,1,12,11,1000,11,2,0,knockout,gold,4888,5.11,132,243,1318,243,671
volleyball,1,12,11,1750,6,2,1,knockout,silver,3857,3.89,72,101,2273,105,1074
football,2,32,496,850,11,5,1,league,silver,32974,0.45,352,691,2761,9424,1311
basketball,3,12,11,100,5,1,0,knockout,silver,317,47.32,60,91,40,68,17
badminton,3,16,120,300,2,2,1,league,silver,1151,13.03,32,44,196,441,48
basketball,1,20,190,1100,5,4,1,league,silver,11605,1.29,100,161,2913,1997,1503
cricket,2,24,23,650,11,1,0,knockout,bronze,2676,2.62,264,525,382,532,279
kabaddi,2,12,38,550,7,6,0,league+knockout,bronze,4998,1.4,84,153,2033,335,978
cricket,1,16,120,750,11,2,1,league,silver,17818,0.84,176,443,1155,4074,699
kabaddi,3,10,9,500,7,1,0,knockout,gold,843,29.66,70,117,222,74,79
football,1,6,5,1750,11,1,0,knockout,silver,3495,4.29,66,103,1223,121,817
cricket,1,8,17,1500,11,5,0,league+knockout,bronze,24217,0.29,88,209,6430,452,4394
volleyball,2,8,28,750,6,3,0,league,silver,2438,6.15,48,63,1025,249,516
volleyball,2,16,120,450,6,5,0,league,silver,3069,4.89,96,131,942,745,479
football,3,16,67,350,11,4,0,league+knockout,bronze,3130,2.24,176,294,604,555,166
badminton,1,8,28,1700,2,2,1,league,gold,7428,3.37,16,20,2273,318,1303
kabaddi,1,10,26,750,7,4,1,league+knockout,bronze,6218,1.13,70,99,2310,394,1107
basketball,2,8,7,450,5,2,0,knockout,gold,1196,20.9,40,63,442,62,225
kabaddi,1,14,51,700,7,5,0,league+knockout,bronze,6630,1.06,98,135,2595,874,1051
basketball,3,12,66,200,5,3,0,league,gold,1743,14.34,60,99,239,427,73
badminton,3,16,120,300,2,3,1,league,silver,1498,10.01,32,43,303,553,60
basketball,3,16,67,100,5,3,1,league+knockout,bronze,1095,6.39,80,117,133,348,53
cricket,1,6,15,1550,11,5,1,league,silver,24865,0.6,66,124,6099,439,2408
volleyball,1,4,4,1700,6,6,1,league+knockout,bronze,9160,0.76,24,36,5092,33,2221
football,2,10,9,250,11,2,1,knockout,bronze,1096,6.39,110,196,271,166,127
cricket,2,16,67,550,11,6,0,league+knockout,platinum,18196,2.75,176,336,1855,1209,772
kabaddi,2,32,31,700,7,1,0,knockout,bronze,1430,4.9,224,402,409,346,208
cricket,2,16,15,350,11,2,0,knockout,silver,2853,5.26,176,353,413,376,267
cricket,1,16,120,1700,11,4,0,league,bronze,23405,0.3,176,415,5783,4020,2448
volleyball,3,12,11,200,6,2,1,knockout,bronze,335,20.9,72,92,151,57,48
football,2,12,38,850,11,6,0,league+knockout,silver,12425,1.21,132,246,3287,706,973
football,2,8,17,500,11,3,0,league+knockout,silver,4034,3.72,88,179,868,323,277
cricket,1,16,120,350,11,2,0,league,silver,11679,1.28,176,340,562,3350,378
badminton,2,16,67,400,2,4,1,league+knockout,silver,2536,5.91,32,40,733,427,229
football,2,14,91,400,11,3,1,league,platinum,9947,5.03,154,277,733,1497,263
cricket,3,16,15,200,11,2,0,knockout,bronze,1558,4.49,176,424,233,251,70
badminton,2,14,91,550,2,4,0,league,gold,3696,6.76,28,41,1084,680,357
kabaddi,1,12,38,700,7,4,1,league+knockout,bronze,6698,1.05,84,136,2128,570,1369
kabaddi,3,6,9,450,7,6,1,league+knockout,bronze,2239,3.13,42,60,1082,53,196
kabaddi,3,32,31,250,7,2,0,knockout,silver,1398,10.73,224,390,204,251,96
volleyball,3,8,7,150,6,1,0,knockout,silver,221,67.87,48,68,57,39,21
kabaddi,1,8,7,1450,7,1,0,knockout,silver,2291,6.55,56,87,1047,112,607
badminton,3,10,45,100,2,2,1,league,bronze,378,18.52,20,30,72,187,24
basketball,2,12,66,500,5,2,0,league,silver,2447,6.13,60,98,459,744,215
volleyball,3,16,67,350,6,4,0,league+knockout,silver,1780,8.43,96,127,499,346,141
football,2,4,6,350,11,5,0,league,silver,3651,4.11,44,77,1097,86,499
cricket,2,16,67,350,11,6,0,league+knockout,silver,11964,1.25,176,407,1392,1784,529
kabaddi,2,10,45,800,7,3,1,league,bronze,3149,2.22,70,119,1238,514,373
football,2,8,7,300,11,2,0,knockout,silver,1266,11.85,88,141,340,99,176
volleyball,3,8,17,200,6,4,0,league+knockout,gold,1115,22.42,48,71,300,90,97
kabaddi,1,32,263,1300,7,6,1,league+knockout,silver,26619,0.56,224,349,5744,4001,2460
cricket,3,6,5,200,11,1,1,knockout,gold,1094,22.85,66,148,113,67,40
basketball,1,20,104,2000,5,3,1,league+knockout,silver,14811,1.01,100,147,3531,1361,2280
volleyball,3,32,31,250,6,1,0,knockout,silver,746,20.11,192,298,98,121,76
basketball,2,16,67,800,5,4,1,league+knockout,silver,6890,2.18,80,131,1833,666,741
basketball,2,16,15,400,5,1,0,knockout,gold,887,28.18,80,129,203,112,93
volleyball,1,8,17,2000,6,4,1,league+knockout,silver,11572,1.3,48,68,4545,180,2176
kabaddi,2,20,19,550,7,2,1,knockout,bronze,1496,4.68,140,249,597,204,294
volleyball,1,16,67,450,6,6,0,league+knockout,silver,4727,3.17,96,127,1399,604,984
badminton,2,20,19,850,2,1,0,knockout,bronze,681,10.28,40,58,465,104,241
football,2,32,31,850,11,1,1,knockout,gold,5017,4.98,352,596,560,619,262
badminton,1,24,23,1100,2,2,1,knockout,gold,3091,8.09,48,72,1328,187,573
football,2,8,7,150,11,1,1,knockout,silver,894,16.78,88,173,102,113,56
cricket,1,20,19,1050,11,2,0,knockout,gold,9904,2.52,220,524,1767,475,1416
football,1,16,120,1000,11,3,0,league,gold,18141,1.38,176,284,2078,3122,1507
cricket,3,8,7,250,11,2,0,knockout,silver,1177,12.74,88,173,243,75,75
basketball,2,32,31,800,5,2,0,knockout,platinum,3141,15.92,160,248,754,281,378
football,2,14,13,700,11,1,1,knockout,silver,2174,6.9,154,313,364,258,205
badminton,2,14,13,200,2,1,0,knockout,bronze,241,29.05,28,33,90,113,57
kabaddi,2,14,91,850,7,5,0,league,silver,7141,2.1,98,159,2428,873,850
basketball,3,8,17,350,5,3,0,league+knockout,gold,1702,14.69,40,59,479,89,97
kabaddi,1,6,15,1650,7,3,0,league,silver,10178,1.47,42,71,3501,191,2478
basketball,2,8,17,900,5,5,1,league+knockout,silver,7724,1.94,40,53,2648,150,978
basketball,1,16,120,1250,5,4,0,league,platinum,14802,3.38,80,133,2890,1352,1901
basketball,2,16,15,150,5,1,0,knockout,platinum,840,59.52,80,115,89,121,82
cricket,2,16,67,500,11,4,0,league+knockout,silver,9653,1.55,176,413,1234,1142,495
basketball,2,8,7,200,5,2,0,knockout,silver,521,28.79,40,59,195,79,80
basketball,2,10,9,900,5,1,0,knockout,bronze,737,9.5,50,77,469,98,161
basketball,3,4,3,150,5,2,0,knockout,silver,231,64.94,20,32,101,17,31
kabaddi,3,8,28,150,7,5,0,league,silver,1272,11.79,56,78,371,209,71
football,3,16,120,450,11,2,0,league,silver,4564,3.29,176,317,428,1193,140
cricket,2,8,17,450,11,6,1,league+knockout,gold,10999,2.27,88,207,1692,325,504
football,1,8,17,1200,11,6,0,league+knockout,gold,23979,1.04,88,140,4900,459,2664
kabaddi,1,8,7,2000,7,1,0,knockout,silver,2792,5.37,56,99,1182,118,872
kabaddi,2,8,28,200,7,5,1,league,bronze,1532,4.57,56,91,560,241,178
football,1,20,19,700,11,2,0,knockout,gold,5136,4.87,220,411,1043,471,594
cricket,1,24,23,550,11,1,1,knockout,silver,4457,3.37,264,638,406,543,360
football,3,16,120,250,11,5,0,league,silver,4633,3.24,176,290,514,1121,187
cricket,2,16,120,700,11,5,0,league,silver,14208,1.06,176,362,2061,2202,1046
basketball,1,16,67,1100,5,5,0,league+knockout,platinum,16649,3.0,80,130,3378,941,1698
badminton,1,8,7,1900,2,2,0,knockout,bronze,3146,2.23,16,26,2368,81,1704
football,1,8,28,1800,11,2,1,league,bronze,8699,0.8,88,180,2626,827,1393
football,1,20,190,1500,11,2,1,league,silver,18532,0.81,220,378,2183,3713,1677
kabaddi,2,6,5,750,7,1,0,knockout,platinum,1354,36.93,42,67,391,57,195
badminton,2,20,104,150,2,4,0,league+knockout,gold,2850,8.77,40,63,322,879,167
cricket,2,12,38,450,11,5,0,league+knockout,gold,13720,1.82,132,261,1708,941,892
volleyball,2,16,120,800,6,4,0,league,bronze,2804,2.5,96,133,1310,781,595
football,1,16,15,1900,11,1,0,knockout,silver,4995,3.0,176,300,1486,377,991
cricket,3,16,15,200,11,1,0,knockout,gold,2306,10.84,176,441,115,220,73
badminton,2,8,7,400,2,1,1,knockout,platinum,573,87.26,16,19,194,48,64
kabaddi,2,16,15,650,7,1,0,knockout,gold,1473,16.97,112,156,397,145,172
cricket,1,12,11,1400,11,1,0,knockout,silver,5000,3.0,132,333,1226,371,716
volleyball,1,8,17,700,6,4,0,league+knockout,gold,5929,4.22,48,66,1810,177,1120
badminton,1,16,15,600,2,1,0,knockout,bronze,605,11.57,32,44,346,165,220
football,1,16,15,1250,11,1,0,knockout,bronze,2474,2.83,176,307,888,386,442
basketball,2,12,11,200,5,2,0,knockout,gold,821,30.45,60,84,231,109,87
volleyball,2,10,9,900,6,1,0,knockout,silver,819,18.32,60,89,452,62,199
kabaddi,2,10,9,900,7,1,0,knockout,silver,1313,11.42,70,125,543,106,250
cricket,3,32,496,150,11,3,0,league,gold,24415,1.02,352,757,271,6480,178
volleyball,1,10,45,1950,6,2,0,league,silver,5430,2.76,60,82,2260,541,1291
cricket,3,16,120,250,11,3,0,league,silver,7628,1.97,176,397,424,1976,166
basketball,3,24,149,500,5,6,0,league+knockout,bronze,3545,1.97,120,188,1224,882,238
kabaddi,1,16,120,1000,7,3,0,league,platinum,11742,4.26,112,178,1849,1719,974
badminton,2,20,104,400,2,4,0,league+knockout,silver,3146,4.77,40,60,859,682,389
basketball,2,8,7,900,5,2,1,knockout,bronze,1484,4.72,40,67,1036,68,325
badminton,2,20,190,750,2,2,0,league,silver,2743,5.47,40,62,671,1065,194
cricket,3,8,28,300,11,5,0,league,bronze,2657,2.63,88,172,668,354,176
football,3,16,120,500,11,4,1,league,gold,7740,3.23,176,335,850,1189,180
basketball,3,8,7,150,5,2,1,knockout,gold,526,47.53,40,60,133,52,42
kabaddi,3,16,120,200,7,4,1,league,platinum,4640,10.78,112,190,318,970,115
kabaddi,1,16,120,1100,7,2,0,league,bronze,6277,1.12,112,206,1679,2148,1021
basketball,2,8,7,450,5,2,1,knockout,platinum,1660,30.12,40,56,502,80,181
football,2,6,5,1000,11,2,1,knockout,bronze,2767,2.53,66,125,1260,91,654
badminton,3,16,120,350,2,3,0,league,silver,1589,9.44,32,48,422,577,98
volleyball,2,8,7,700,6,1,0,knockout,silver,632,23.73,48,64,343,56,154
football,3,16,67,150,11,5,0,league+knockout,gold,4941,5.06,176,354,328,734,108
cricket,2,16,67,200,11,6,1,league+knockout,bronze,7434,0.94,176,387,891,1362,356
cricket,3,32,31,350,11,2,0,knockout,gold,4514,5.54,352,859,329,331,135
football,2,12,11,950,11,1,0,knockout,gold,2597,9.63,132,213,610,211,219
kabaddi,2,32,496,200,7,3,1,league,silver,13207,1.14,224,407,372,6045,231
cricket,2,8,28,500,11,4,0,league,silver,6819,2.2,88,187,1367,504,660
badminton,3,16,120,250,2,3,0,league,silver,1208,12.42,32,50,272,456,85
kabaddi,1,32,31,350,7,1,0,knockout,gold,2384,10.49,224,381,254,445,285
basketball,2,6,15,150,5,2,1,league,gold,956,26.15,30,44,151,147,68
football,1,4,6,500,11,4,0,league,silver,5022,2.99,44,84,1388,171,793
basketball,1,8,7,700,5,2,1,knockout,gold,2351,10.63,40,69,864,91,396
basketball,2,24,23,150,5,1,1,knockout,gold,1143,21.87,120,202,87,239,62
cricket,3,16,15,400,11,1,0,knockout,bronze,1438,4.87,176,443,193,157,96
cricket,3,16,15,100,11,1,1,knockout,silver,1758,8.53,176,433,44,166,53
badminton,2,16,120,250,2,4,1,league,bronze,2023,3.46,32,41,479,1064,168
kabaddi,2,12,66,300,7,2,0,league,bronze,1920,3.65,84,144,381,836,135
basketball,2,12,66,950,5,4,0,league,silver,6462,2.32,60,100,2224,706,1072
kabaddi,3,12,11,200,7,2,0,knockout,platinum,994,50.3,84,149,172,83,64
football,3,10,45,400,11,2,0,league,silver,2649,5.66,110,211,363,511,113
football,3,32,496,400,11,3,0,league,platinum,18498,2.7,352,628,546,4337,227
badminton,1,6,9,1600,2,6,0,league+knockout,gold,17647,1.42,12,15,5851,106,3124
kabaddi,2,14,13,250,7,2,0,knockout,silver,881,17.03,98,159,232,112,133
basketball,2,16,67,600,5,5,0,league+knockout,silver,5059,2.97,80,104,1430,629,595
basketball,2,12,66,250,5,3,0,league,silver,2276,6.59,60,86,408,729,183
badminton,2,8,7,900,2,2,0,knockout,gold,1490,16.78,16,23,801,61,291
kabaddi,3,10,9,50,7,1,1,knockout,bronze,295,23.73,70,110,22,75,16
kabaddi,1,16,120,1500,7,5,1,league,silver,19038,0.79,112,194,5634,2012,2541
