sport,city_tier,current_registrations,days_since_open,total_days_available,max_teams,entry_fee,prize_pool,has_sponsor,format,fill_percentage,days_remaining,projected_registrations,fill_rate,label
volleyball,3,13,2,9,16,750,7500,0,league+knockout,81.2,7,24.0,2.621,oversubscribed
football,1,3,4,10,16,3500,37000,0,knockout,18.8,6,15.3,0.956,will_fill
football,1,12,12,14,14,4350,7000,0,league+knockout,85.7,2,18.5,1.325,oversubscribed
volleyball,2,10,3,16,20,2500,5000,0,knockout,50.0,13,30.0,2.78,oversubscribed
volleyball,1,9,4,16,16,3200,42000,0,knockout,56.2,12,24.0,3.41,oversubscribed
kabaddi,3,8,1,9,12,1100,2500,0,knockout,66.7,8,18.0,4.719,oversubscribed
football,2,26,5,18,32,2300,21000,0,knockout,81.2,13,48.0,4.411,oversubscribed
cricket,2,2,6,12,12,2550,22000,0,knockout,16.7,6,5.7,0.474,wont_fill
football,3,5,6,7,20,150,1500,1,league+knockout,25.0,1,7.0,0.351,wont_fill
basketball,1,4,4,11,16,500,20000,1,league+knockout,25.0,7,19.1,1.196,oversubscribed
football,2,0,2,5,8,1250,20500,0,league+knockout,0.0,3,0.6,0.077,wont_fill
volleyball,2,2,12,19,6,2350,8500,1,knockout,33.3,7,3.8,0.642,wont_fill
volleyball,2,22,4,6,32,750,17000,1,league,68.8,2,39.1,1.223,oversubscribed
badminton,2,6,7,15,8,2150,17500,0,knockout,75.0,8,12.0,2.122,oversubscribed
volleyball,1,9,7,11,24,3300,31500,0,league,37.5,4,15.7,0.656,wont_fill
badminton,2,1,3,20,8,2050,4000,1,knockout,12.5,17,9.0,1.13,will_fill
football,2,2,11,15,16,2050,24500,0,league,12.5,4,3.9,0.243,wont_fill
cricket,2,5,2,12,16,750,10000,0,knockout,31.2,10,24.0,3.245,oversubscribed
basketball,3,15,5,5,16,650,1000,0,league+knockout,93.8,0,14.1,0.883,will_fill
badminton,2,1,3,17,8,400,4000,1,knockout,12.5,14,7.5,0.939,will_fill
kabaddi,2,8,13,15,10,500,6000,0,knockout,80.0,2,10.8,1.076,will_fill
badminton,2,4,9,18,16,1700,15000,0,league,25.0,9,8.9,0.559,wont_fill
basketball,2,0,2,17,6,1150,5500,1,league,0.0,15,0.0,0.0,wont_fill
cricket,1,4,8,17,8,3400,6500,0,league,50.0,9,12.0,1.831,oversubscribed
kabaddi,1,14,13,18,24,1450,28500,0,league+knockout,58.3,5,23.6,0.983,will_fill
basketball,2,3,4,18,12,2450,3500,0,league,25.0,14,17.0,1.42,oversubscribed
badminton,1,4,4,8,6,1700,17500,0,league+knockout,66.7,4,9.0,1.891,oversubscribed
football,3,6,15,20,8,1000,11500,1,league,75.0,5,9.8,1.22,oversubscribed
volleyball,3,13,3,15,32,1400,5500,1,knockout,40.6,12,48.0,1.819,oversubscribed
badminton,2,6,3,6,12,650,21000,0,knockout,50.0,3,15.7,1.31,oversubscribed
volleyball,3,11,6,11,20,250,8000,0,league,55.0,5,18.6,0.931,will_fill
badminton,3,12,2,6,16,1150,9000,0,knockout,75.0,4,24.0,2.33,oversubscribed
kabaddi,2,5,2,15,16,1900,10500,0,knockout,31.2,13,24.0,2.667,oversubscribed
basketball,3,5,6,9,16,1450,7000,0,knockout,31.2,3,8.2,0.511,wont_fill
basketball,2,11,3,21,20,1800,1500,0,league+knockout,55.0,18,30.0,3.845,oversubscribed
football,2,1,3,9,8,700,17500,1,league+knockout,12.5,6,4.6,0.57,wont_fill
basketball,1,3,7,9,20,1850,49500,0,knockout,15.0,2,4.3,0.213,wont_fill
football,3,7,8,19,16,1050,3500,0,league,43.8,11,19.1,1.193,oversubscribed
kabaddi,2,11,14,21,12,2800,5500,1,knockout,91.7,7,18.0,1.787,oversubscribed
kabaddi,3,2,4,21,8,650,8000,1,league,25.0,17,10.0,1.247,oversubscribed
kabaddi,1,7,1,16,20,3550,17500,0,league+knockout,35.0,15,30.0,5.891,oversubscribed
football,1,3,13,15,20,4350,47500,1,league+knockout,15.0,2,7.2,0.362,wont_fill
basketball,1,6,9,9,8,3950,9500,1,knockout,75.0,0,4.9,0.617,wont_fill
football,2,4,8,8,12,2400,20000,0,league+knockout,33.3,0,4.4,0.365,wont_fill
basketball,2,5,5,7,8,2450,19000,0,league,62.5,2,11.1,1.389,oversubscribed
kabaddi,3,7,9,16,12,250,6000,0,knockout,58.3,7,12.4,1.033,will_fill
cricket,3,5,3,6,10,450,11500,0,league,50.0,3,12.9,1.29,oversubscribed
football,1,1,4,14,12,850,22500,1,league+knockout,8.3,10,7.0,0.582,wont_fill
basketball,2,9,6,14,16,3000,12000,0,knockout,56.2,8,24.0,1.665,oversubscribed
kabaddi,3,20,11,17,24,1100,6500,1,league,83.3,6,26.9,1.119,will_fill
cricket,2,4,9,10,16,1650,22500,0,knockout,25.0,1,5.5,0.344,wont_fill
football,2,2,14,16,6,550,3500,0,knockout,33.3,2,2.5,0.424,wont_fill
volleyball,2,1,2,19,8,2950,13000,0,league+knockout,12.5,17,8.7,1.085,will_fill
cricket,2,22,15,16,32,2450,13000,0,league,68.8,1,24.3,0.761,wont_fill
cricket,1,12,5,8,16,2250,42000,0,knockout,75.0,3,24.0,2.53,oversubscribed
cricket,1,7,3,19,8,3100,46000,0,knockout,87.5,16,12.0,14.32,oversubscribed
basketball,1,3,6,10,8,2150,11000,0,knockout,37.5,4,8.1,1.007,will_fill
basketball,2,6,1,7,16,2250,18000,0,league+knockout,37.5,6,24.0,2.818,oversubscribed
basketball,1,8,15,19,16,2000,10500,0,league+knockout,50.0,4,12.4,0.773,wont_fill
cricket,2,6,6,12,8,1450,3500,0,knockout,75.0,6,12.0,2.239,oversubscribed
basketball,1,9,5,7,16,1750,13000,0,league,56.2,2,20.6,1.288,oversubscribed
basketball,1,2,11,13,8,750,34500,1,league+knockout,25.0,2,2.6,0.324,wont_fill
badminton,2,1,8,14,16,2100,14500,0,league+knockout,6.2,6,2.1,0.131,wont_fill
basketball,1,1,13,16,10,1350,23000,0,league+knockout,10.0,3,1.8,0.181,wont_fill
football,1,12,8,18,12,3200,40000,1,knockout,100.0,10,18.0,5.129,oversubscribed
football,2,1,8,14,14,2350,16000,1,league,7.1,6,1.0,0.071,wont_fill
badminton,1,9,10,20,16,4050,11000,1,knockout,56.2,10,24.0,1.834,oversubscribed
kabaddi,2,6,6,11,16,2350,16000,1,league,37.5,5,12.3,0.767,wont_fill
basketball,2,20,12,17,32,1800,5500,0,knockout,62.5,5,35.9,1.123,will_fill
basketball,1,7,17,20,16,4700,11000,0,knockout,43.8,3,11.8,0.737,wont_fill
basketball,2,4,18,21,10,2250,1500,0,knockout,40.0,3,5.9,0.588,wont_fill
basketball,2,13,5,5,24,2650,20000,0,league+knockout,54.2,0,11.1,0.461,wont_fill
basketball,2,2,4,9,20,750,7500,0,league,10.0,5,5.4,0.27,wont_fill
football,2,8,2,20,14,2600,11500,1,knockout,57.1,18,21.0,9.616,oversubscribed
kabaddi,2,9,9,15,24,2950,23500,0,knockout,37.5,6,15.5,0.647,wont_fill
football,1,8,13,14,32,4500,23000,0,knockout,25.0,1,15.2,0.475,wont_fill
volleyball,1,14,13,17,16,1700,21000,0,knockout,87.5,4,24.0,1.739,oversubscribed
kabaddi,2,4,9,13,8,2800,20000,0,league,50.0,4,5.4,0.677,wont_fill
football,2,5,4,20,12,2550,6000,0,knockout,41.7,16,18.0,3.14,oversubscribed
kabaddi,2,22,5,15,32,650,22500,0,knockout,68.8,10,48.0,2.367,oversubscribed
volleyball,3,14,6,18,24,900,8500,0,knockout,58.3,12,36.0,1.713,oversubscribed
badminton,3,6,6,8,16,1200,9000,0,knockout,37.5,2,10.8,0.676,wont_fill
kabaddi,1,4,9,19,10,3250,21500,0,league+knockout,40.0,10,9.6,0.964,will_fill
football,2,3,17,18,12,700,7000,1,league,25.0,1,4.4,0.369,wont_fill
cricket,1,8,5,15,16,2650,45000,0,knockout,50.0,10,24.0,3.408,oversubscribed
volleyball,1,7,10,21,12,2900,26000,0,knockout,58.3,11,18.0,2.034,oversubscribed
football,2,24,14,16,32,2500,23000,1,league,75.0,2,40.4,1.264,oversubscribed
basketball,3,7,3,16,12,1200,9000,0,knockout,58.3,13,18.0,3.161,oversubscribed
football,2,4,10,11,8,2100,3000,0,league,50.0,1,4.4,0.551,wont_fill
cricket,2,2,4,5,10,1200,20000,0,league,20.0,1,2.6,0.255,wont_fill
basketball,3,1,2,20,6,400,11000,1,league+knockout,16.7,18,9.0,1.828,oversubscribed
kabaddi,2,2,13,17,12,2500,5500,0,league+knockout,16.7,4,2.7,0.226,wont_fill
basketball,2,26,1,5,32,2550,15000,0,knockout,81.2,4,48.0,6.387,oversubscribed
badminton,1,16,1,8,24,650,18000,0,knockout,66.7,7,36.0,9.54,oversubscribed
cricket,2,2,12,12,24,2500,8000,1,league,8.3,0,3.5,0.147,wont_fill
badminton,1,4,4,15,16,4750,16500,0,league+knockout,25.0,11,18.4,1.148,will_fill
basketball,3,14,18,18,24,1400,11500,0,league+knockout,58.3,0,15.9,0.664,wont_fill
kabaddi,1,10,8,20,16,1700,32500,1,knockout,62.5,12,24.0,2.701,oversubscribed
kabaddi,2,5,6,11,8,1800,4000,0,knockout,62.5,5,11.5,1.435,oversubscribed
cricket,1,11,2,7,16,2300,33500,0,league,68.8,5,24.0,4.378,oversubscribed
badminton,3,20,8,8,24,500,7000,1,knockout,83.3,0,17.0,0.709,wont_fill
kabaddi,2,5,16,16,10,2200,11500,1,league,50.0,0,3.9,0.392,wont_fill
basketball,3,0,10,18,4,900,10000,1,league,0.0,8,0.2,0.039,wont_fill
volleyball,3,9,16,20,20,800,3500,0,knockout,45.0,4,12.0,0.598,wont_fill
basketball,3,10,7,7,16,950,3000,1,league+knockout,62.5,0,10.3,0.643,wont_fill
cricket,1,0,16,20,6,3850,3000,0,league,0.0,4,0.2,0.038,wont_fill
badminton,1,12,2,10,16,2450,14500,0,league+knockout,75.0,8,24.0,4.565,oversubscribed
badminton,1,7,15,17,12,2350,21500,0,knockout,58.3,2,10.4,0.868,will_fill
volleyball,3,7,2,20,12,250,8500,1,knockout,58.3,18,18.0,6.943,oversubscribed
badminton,2,2,2,21,8,2600,16500,0,league+knockout,25.0,19,12.0,2.587,oversubscribed
volleyball,3,11,2,6,16,500,10000,0,league+knockout,68.8,4,24.0,1.912,oversubscribed
cricket,1,6,11,17,16,1150,35000,1,league,37.5,6,18.5,1.156,oversubscribed
cricket,2,1,11,17,10,2150,17000,0,league+knockout,10.0,6,1.0,0.103,wont_fill
kabaddi,2,10,7,7,16,600,3500,0,league,62.5,0,9.6,0.597,wont_fill
football,2,3,3,5,8,700,5500,0,knockout,37.5,2,8.3,1.038,will_fill
basketball,2,4,5,7,10,1900,1500,0,knockout,40.0,2,6.7,0.67,wont_fill
basketball,3,3,7,10,16,650,8500,0,league+knockout,18.8,3,4.5,0.28,wont_fill
badminton,2,4,12,12,8,1100,16000,0,knockout,50.0,0,3.7,0.466,wont_fill
badminton,3,11,11,19,24,1450,10000,0,knockout,45.8,8,18.5,0.769,wont_fill
volleyball,1,22,5,15,32,2500,23500,0,knockout,68.8,10,48.0,2.971,oversubscribed
kabaddi,2,1,9,10,8,1150,15500,1,league+knockout,12.5,1,1.6,0.2,wont_fill
kabaddi,2,2,11,13,10,1850,3500,0,knockout,20.0,2,3.6,0.361,wont_fill
basketball,2,11,3,6,16,2750,22000,1,league+knockout,68.8,3,24.0,1.667,oversubscribed
volleyball,2,4,11,17,6,350,4000,0,league,66.7,6,6.7,1.112,will_fill
basketball,2,3,13,16,8,2350,6000,0,league,37.5,3,3.6,0.455,wont_fill
kabaddi,3,6,6,9,20,500,9000,0,knockout,30.0,3,10.0,0.499,wont_fill
volleyball,2,4,1,8,6,950,9000,0,knockout,66.7,7,9.0,6.906,oversubscribed
badminton,2,2,6,17,8,1900,2000,1,league+knockout,25.0,11,6.5,0.815,wont_fill
kabaddi,2,12,5,11,16,550,20000,0,knockout,75.0,6,24.0,2.358,oversubscribed
football,2,5,17,20,8,1900,21000,0,knockout,62.5,3,8.2,1.026,will_fill
kabaddi,2,9,10,14,16,1600,5000,0,league+knockout,56.2,4,14.4,0.898,will_fill
football,2,2,14,17,8,2950,6500,0,league,25.0,3,3.6,0.449,wont_fill
badminton,3,5,4,5,24,1250,9000,0,league,20.8,1,7.5,0.312,wont_fill
volleyball,3,2,2,5,8,1200,5000,0,league,25.0,3,4.2,0.521,wont_fill
kabaddi,2,5,2,16,8,1200,15000,0,knockout,62.5,14,12.0,6.15,oversubscribed
football,1,6,3,16,12,2450,16000,1,league+knockout,50.0,13,18.0,4.397,oversubscribed
badminton,3,9,4,9,12,1250,6000,0,league,75.0,5,17.3,1.44,oversubscribed
football,2,9,9,13,10,700,5500,1,league,90.0,4,15.0,1.817,oversubscribed
badminton,3,17,3,12,24,1500,7000,0,knockout,70.8,9,36.0,2.566,oversubscribed
badminton,2,2,4,7,6,1800,16000,1,knockout,33.3,3,6.1,1.014,will_fill
volleyball,1,10,3,16,16,4000,16000,0,league+knockout,62.5,13,24.0,3.524,oversubscribed
badminton,2,14,11,20,16,500,4500,0,league,87.5,9,24.0,1.955,oversubscribed
cricket,1,3,4,5,12,1600,44500,0,league+knockout,25.0,1,4.4,0.364,wont_fill
cricket,2,4,1,10,12,1250,15000,0,knockout,33.3,9,18.0,6.071,oversubscribed
cricket,1,1,15,21,16,1500,29500,0,knockout,6.2,6,4.1,0.254,wont_fill
football,2,4,6,15,8,850,22000,1,league,50.0,9,12.0,2.242,oversubscribed
basketball,2,3,7,16,8,2000,21000,0,league,37.5,9,8.2,1.024,will_fill
cricket,3,5,12,17,8,400,4500,0,knockout,62.5,5,8.8,1.105,will_fill
basketball,2,2,3,5,10,1050,14000,0,league,20.0,2,4.7,0.473,wont_fill
football,2,8,5,7,14,1800,11500,0,knockout,57.1,2,16.5,1.179,oversubscribed
badminton,2,5,1,7,14,1200,2500,1,knockout,35.7,6,21.0,3.291,oversubscribed
kabaddi,2,6,14,18,14,2500,18500,0,league,42.9,4,8.6,0.617,wont_fill
basketball,3,4,7,15,8,1450,11500,0,league+knockout,50.0,8,7.9,0.99,will_fill
kabaddi,2,1,4,7,6,500,11000,0,league+knockout,16.7,3,3.1,0.512,wont_fill
cricket,2,1,9,16,8,1400,5000,1,league,12.5,7,3.1,0.384,wont_fill
kabaddi,1,6,4,7,16,4600,39000,0,knockout,37.5,3,11.0,0.685,wont_fill
basketball,2,8,1,5,16,500,16500,0,knockout,50.0,4,24.0,4.938,oversubscribed
cricket,2,5,8,18,16,1600,10000,1,league+knockout,31.2,10,15.6,0.972,will_fill
cricket,2,5,2,21,8,2200,10000,1,league+knockout,62.5,19,12.0,9.762,oversubscribed
cricket,2,4,12,14,8,2700,17000,1,knockout,50.0,2,6.7,0.834,will_fill
basketball,3,1,1,18,4,100,6000,0,knockout,25.0,17,6.0,6.083,oversubscribed
volleyball,2,5,7,12,16,900,24500,0,knockout,31.2,5,11.3,0.709,wont_fill
football,3,10,15,16,16,300,9000,0,league,62.5,1,13.0,0.81,wont_fill
basketball,1,7,5,14,8,3700,48000,1,league,87.5,9,12.0,4.327,oversubscribed
kabaddi,1,1,3,8,8,3050,28500,0,knockout,12.5,5,3.4,0.43,wont_fill
football,2,12,2,7,20,2750,2500,0,league,60.0,5,30.0,2.407,oversubscribed
football,1,5,2,21,10,1900,4000,1,knockout,50.0,19,15.0,11.525,oversubscribed
basketball,2,1,2,9,14,1200,5500,0,knockout,7.1,7,7.8,0.556,wont_fill
volleyball,2,1,2,13,16,2950,15500,1,league,6.2,11,7.3,0.457,wont_fill
badminton,1,2,13,18,6,4000,13500,0,league+knockout,33.3,5,2.8,0.461,wont_fill
badminton,1,1,11,12,6,4400,6000,0,league+knockout,16.7,1,1.6,0.272,wont_fill
volleyball,3,10,4,5,16,1200,8500,0,league,62.5,1,15.2,0.95,will_fill
badminton,1,5,1,13,8,3450,40500,1,knockout,62.5,12,12.0,17.262,oversubscribed
cricket,1,10,2,6,16,3700,25500,1,knockout,62.5,4,24.0,4.873,oversubscribed
football,2,13,3,5,16,2600,7000,1,league+knockout,81.2,2,24.0,1.903,oversubscribed
basketball,2,2,10,12,8,300,12000,1,league,25.0,2,4.1,0.513,wont_fill
volleyball,1,5,1,6,24,1650,9500,1,league+knockout,20.8,5,35.0,1.458,oversubscribed
cricket,2,3,6,8,12,950,25000,1,league+knockout,25.0,2,6.9,0.571,wont_fill
volleyball,2,11,8,16,16,1850,11000,1,league,68.8,8,24.0,1.638,oversubscribed
football,2,6,2,17,32,2800,8000,0,league+knockout,18.8,15,48.0,1.712,oversubscribed
kabaddi,1,5,3,15,8,3250,31500,0,league,62.5,12,12.0,3.99,oversubscribed
volleyball,1,3,1,5,8,1850,29000,0,knockout,37.5,4,12.0,3.423,oversubscribed
cricket,3,8,3,12,16,150,5500,0,league+knockout,50.0,9,24.0,2.229,oversubscribed
cricket,1,12,5,7,12,3250,41000,1,knockout,100.0,2,18.0,3.177,oversubscribed
kabaddi,3,3,1,10,24,500,7000,0,knockout,12.5,9,22.0,0.916,will_fill
volleyball,2,4,1,8,10,2300,6000,0,league,40.0,7,15.0,3.141,oversubscribed
cricket,1,1,2,11,16,2900,7500,0,league,6.2,9,7.9,0.491,wont_fill
kabaddi,2,2,6,17,8,1050,15500,0,league+knockout,25.0,11,5.7,0.718,wont_fill
badminton,1,4,2,8,6,3900,40500,0,knockout,66.7,6,9.0,4.743,oversubscribed
kabaddi,3,12,19,20,16,250,7000,1,league,75.0,1,14.9,0.93,will_fill
basketball,3,4,8,8,16,550,3500,0,league,25.0,0,1.8,0.115,wont_fill
kabaddi,1,7,6,13,8,1050,7500,0,league+knockout,87.5,7,12.0,2.304,oversubscribed
badminton,3,14,5,5,24,350,7500,0,league,58.3,0,13.3,0.552,wont_fill
cricket,3,3,14,14,8,950,5000,0,league,37.5,0,2.2,0.275,wont_fill
cricket,1,7,2,17,16,2450,5000,1,league,43.8,15,24.0,7.52,oversubscribed
badminton,1,8,8,13,10,2350,11000,0,league+knockout,80.0,5,15.0,1.577,oversubscribed
badminton,1,4,8,11,16,4450,36000,1,league,25.0,3,6.9,0.43,wont_fill
football,1,1,19,21,12,2150,6000,0,league,8.3,2,1.5,0.125,wont_fill
volleyball,1,7,4,17,14,4500,41000,0,knockout,50.0,13,21.0,3.161,oversubscribed
kabaddi,2,4,12,13,8,400,13500,0,knockout,50.0,1,5.0,0.63,wont_fill
football,3,4,11,13,16,1500,500,0,league,25.0,2,6.0,0.374,wont_fill
cricket,1,29,7,13,32,4250,18500,0,league,90.6,6,48.0,2.796,oversubscribed
basketball,3,4,12,21,8,700,5500,0,knockout,50.0,9,7.8,0.969,will_fill
badminton,3,18,11,13,24,700,3500,0,league,75.0,2,26.5,1.104,will_fill
basketball,2,5,4,5,8,2000,14500,0,knockout,62.5,1,6.0,0.754,wont_fill
basketball,3,9,12,20,16,1450,9500,0,knockout,56.2,8,17.3,1.084,will_fill
football,2,8,6,10,16,1200,11000,0,league,50.0,4,19.0,1.191,oversubscribed
basketball,1,10,4,7,14,3650,36500,0,league+knockout,71.4,3,21.0,1.61,oversubscribed
football,3,11,5,19,32,250,8500,0,knockout,34.4,14,48.0,1.592,oversubscribed
badminton,2,5,10,10,8,650,5000,0,knockout,62.5,0,4.6,0.581,wont_fill
kabaddi,2,7,1,16,8,2500,7000,0,knockout,87.5,15,12.0,14.908,oversubscribed
volleyball,1,4,2,9,10,1850,6500,1,league,40.0,7,15.0,2.343,oversubscribed
badminton,2,6,5,18,16,1750,7000,0,league,37.5,13,24.0,1.528,oversubscribed
kabaddi,1,14,1,11,32,3500,48500,0,knockout,43.8,10,48.0,6.872,oversubscribed
volleyball,1,1,6,6,6,900,47000,0,league,16.7,0,0.6,0.107,wont_fill
badminton,2,5,3,5,16,2450,10000,0,knockout,31.2,2,12.8,0.799,wont_fill
cricket,2,2,8,8,10,1400,18000,1,league,20.0,0,2.2,0.216,wont_fill
football,1,1,11,20,8,1250,9000,1,league,12.5,9,3.9,0.49,wont_fill
football,3,3,5,8,6,700,5000,0,league+knockout,50.0,3,5.3,0.888,will_fill
