sport,city_tier,venue_cost,max_teams,team_size,format,has_sponsor,prize_percentage,tournament_days,optimal_entry_fee
kabaddi,2,4500,16,8,knockout,0,70,2,500
basketball,1,9500,8,5,knockout,1,65,1,2000
kabaddi,1,22500,16,10,league,0,45,2,2000
badminton,2,10500,8,2,league,1,60,4,1000
cricket,2,10000,20,14,knockout,1,60,2,1250
kabaddi,1,12500,12,11,league,0,50,2,1700
kabaddi,2,5000,8,7,league+knockout,0,60,5,1250
kabaddi,2,7000,16,10,league,1,50,4,750
kabaddi,1,15500,16,10,league,0,50,3,2000
basketball,2,7000,20,5,knockout,0,70,1,750
volleyball,3,3000,20,7,knockout,0,65,1,250
basketball,2,9000,16,8,knockout,1,40,1,700
badminton,3,2500,12,1,league,1,45,3,500
cricket,1,13000,10,13,league+knockout,0,55,5,5000
football,1,17000,12,8,league,0,50,2,3000
badminton,2,5000,14,3,league+knockout,0,50,2,500
basketball,1,11500,16,8,league+knockout,1,50,5,2000
kabaddi,2,8000,32,9,league,0,65,3,300
cricket,3,4000,20,13,league,1,55,4,500
football,2,5000,16,8,league,0,40,3,1000
badminton,2,7500,10,4,knockout,0,50,2,950
football,1,16000,14,9,league+knockout,1,60,2,2500
football,3,5500,32,11,league,0,65,2,500
badminton,2,4000,16,3,league,0,55,3,400
basketball,1,17000,20,7,knockout,0,45,1,2134
cricket,1,17000,8,14,league+knockout,0,75,5,5000
kabaddi,2,9000,16,9,league+knockout,0,65,3,1182
badminton,1,20500,16,3,league,0,55,2,2700
kabaddi,1,12500,16,7,knockout,0,60,1,1200
football,1,10500,8,8,league+knockout,1,55,4,3200
basketball,1,11500,8,6,league+knockout,0,50,2,3500
cricket,2,15000,16,11,league+knockout,0,45,3,2250
volleyball,1,18500,12,8,league,0,70,2,2500
volleyball,2,6000,32,6,league,1,65,3,500
kabaddi,1,14500,16,7,knockout,0,75,2,1300
badminton,2,5500,8,1,league,1,75,4,1250
football,2,5500,12,7,league+knockout,0,60,4,1500
kabaddi,1,14500,8,7,league+knockout,1,65,3,3000
basketball,2,15000,12,8,league,1,45,3,2000
basketball,2,3000,14,5,knockout,0,75,2,500
football,3,3000,32,11,league+knockout,0,75,2,400
volleyball,1,10000,16,7,knockout,1,60,1,1000
volleyball,2,9000,16,6,knockout,0,75,1,750
football,2,4500,20,11,league,0,45,2,600
volleyball,1,11500,12,8,league,0,55,2,1500
kabaddi,1,28500,16,11,league,0,40,2,3000
cricket,1,8500,20,13,league+knockout,0,45,2,2000
football,2,15000,14,9,league,0,40,3,1550
basketball,2,4000,16,7,league,0,40,3,650
kabaddi,3,6000,8,7,league+knockout,0,65,2,1000
badminton,1,16500,6,1,league+knockout,0,50,4,5000
volleyball,3,2500,8,6,knockout,0,50,1,300
kabaddi,2,3000,16,12,league,1,60,4,250
kabaddi,2,6500,8,7,knockout,0,45,2,1000
badminton,3,7000,24,1,knockout,0,70,2,300
volleyball,3,3000,20,8,league,0,70,4,500
cricket,3,6500,32,11,league+knockout,0,50,2,750
kabaddi,2,11500,12,9,league,0,60,4,1600
volleyball,2,5000,16,7,knockout,0,50,2,500
badminton,2,8000,16,2,league,0,45,3,900
badminton,3,3500,20,1,league,0,65,4,250
football,3,4000,20,8,knockout,0,50,1,400
cricket,2,13500,16,15,league,0,60,4,2000
football,1,30000,16,8,league,1,40,3,3100
kabaddi,2,7000,20,8,league+knockout,0,60,5,1000
volleyball,3,4000,14,7,league+knockout,1,70,5,400
basketball,1,13000,16,7,knockout,0,45,1,1400
badminton,2,5500,20,1,league,1,55,3,550
kabaddi,1,16000,8,7,league,0,40,3,3250
volleyball,2,10500,6,7,knockout,0,50,2,2000
cricket,1,19500,8,15,knockout,0,45,2,5000
football,2,5000,12,7,league+knockout,1,70,2,900
volleyball,1,19000,16,6,league,0,50,4,2500
badminton,1,14000,14,1,league,0,70,2,2132
badminton,2,12000,6,2,knockout,1,45,2,2000
badminton,3,4500,20,4,knockout,1,70,1,100
kabaddi,1,13000,20,7,knockout,0,60,2,1250
badminton,1,19500,10,1,league,1,60,3,3750
kabaddi,2,12000,12,8,league+knockout,0,70,4,2000
cricket,2,9500,16,12,knockout,0,60,1,1200
badminton,2,8000,8,4,league,0,40,4,1750
kabaddi,1,14500,32,7,league+knockout,0,65,4,1300
football,3,2500,16,10,knockout,0,45,1,250
kabaddi,3,2500,8,10,knockout,1,65,2,300
basketball,2,11500,8,5,knockout,0,50,2,2150
cricket,1,18000,12,15,knockout,0,70,1,3350
kabaddi,1,14000,32,12,league,1,60,4,1000
basketball,1,14500,8,6,knockout,1,70,1,2500
football,1,20500,12,11,league,0,75,2,4000
badminton,2,5000,14,4,league,1,45,2,600
kabaddi,2,8500,8,11,league,0,50,2,1400
cricket,3,2500,10,12,league,0,55,3,750
badminton,3,4000,16,3,knockout,0,60,1,500
basketball,1,11500,16,7,league,1,40,2,1450
basketball,1,8000,16,5,knockout,0,75,2,1000
football,3,2500,10,7,league,0,50,3,500
badminton,2,8000,16,3,knockout,1,50,2,500
football,2,10000,8,7,knockout,0,65,2,1950
football,3,3500,16,8,league+knockout,1,70,5,500
cricket,1,14000,12,12,knockout,0,60,1,3750
volleyball,2,8000,4,6,knockout,0,55,2,2250
kabaddi,1,17000,12,9,league,0,70,3,3000
basketball,2,7000,32,8,knockout,0,60,2,500
basketball,2,9500,6,7,knockout,1,75,2,1950
football,2,8000,8,11,league,1,60,4,1900
basketball,2,7500,14,5,league,0,45,3,1100
volleyball,3,3500,16,7,league,1,55,4,500
volleyball,2,13000,8,8,league+knockout,0,45,3,1500
volleyball,1,30000,16,7,league,1,45,4,3000
badminton,3,5000,12,2,league,0,75,3,600
volleyball,2,15000,8,7,league+knockout,0,55,4,3000
badminton,3,2500,16,4,league,0,60,4,300
badminton,1,6000,16,4,league,1,50,3,1500
kabaddi,2,5500,8,11,league,0,75,4,1000
volleyball,2,8500,16,8,knockout,0,55,1,1000
kabaddi,1,20500,4,11,league+knockout,1,50,5,5000
kabaddi,2,5000,32,9,knockout,0,45,1,500
volleyball,2,4000,24,6,league+knockout,0,50,2,500
kabaddi,1,22500,24,9,league,1,40,3,1500
badminton,1,7000,16,4,league+knockout,1,50,5,1300
badminton,1,13500,8,2,league,0,60,3,3900
football,2,4000,12,10,league,0,45,3,1000
football,2,7000,4,10,league+knockout,0,55,4,3000
cricket,1,11500,8,11,knockout,0,50,2,3300
volleyball,3,2500,16,7,league,0,55,2,250
kabaddi,2,7500,12,11,league,1,75,4,1000
volleyball,3,5000,8,7,league+knockout,0,65,2,500
basketball,3,2000,16,6,knockout,0,75,2,500
basketball,2,8000,12,5,league+knockout,0,70,5,1500
kabaddi,2,13500,4,9,knockout,1,55,1,3000
cricket,3,6000,24,11,knockout,0,50,1,537
volleyball,3,8000,24,7,knockout,1,65,2,362
basketball,1,12500,8,8,league+knockout,0,55,2,4050
kabaddi,2,9500,16,8,league,0,60,2,1050
volleyball,3,2500,16,8,knockout,1,40,1,100
cricket,2,11000,24,12,league,1,65,3,1000
cricket,1,8500,8,15,league+knockout,0,60,3,3000
volleyball,2,6500,8,8,league,1,50,4,1200
cricket,3,6500,16,15,league+knockout,0,65,5,1250
basketball,2,14000,10,6,league+knockout,1,45,5,2400
football,2,3500,10,7,knockout,1,65,1,600
cricket,1,16500,16,11,league,0,75,2,3050
badminton,2,3000,8,2,league+knockout,1,45,5,800
volleyball,1,8500,16,7,league+knockout,0,75,4,1500
kabaddi,2,8500,16,9,league+knockout,1,65,4,900
football,2,6000,16,11,knockout,0,65,2,500
kabaddi,2,7000,16,12,knockout,0,70,2,700
badminton,1,9500,14,1,league,0,45,4,2500
volleyball,1,11500,4,8,league,0,45,4,5000
kabaddi,2,7000,16,10,knockout,0,75,2,500
basketball,3,3000,20,6,league,0,45,4,500
basketball,1,30000,20,5,knockout,0,65,2,2750
football,1,10500,8,7,league+knockout,0,65,5,4000
cricket,2,7000,20,13,knockout,0,45,1,850
volleyball,3,4500,6,6,league,0,55,4,1000
badminton,1,11500,8,4,knockout,1,60,1,1800
kabaddi,2,6500,12,12,league,0,45,4,1000
cricket,2,4000,10,15,league+knockout,1,65,4,834
kabaddi,1,27000,12,8,league,0,65,2,3500
football,2,9000,8,8,knockout,1,60,2,1500
badminton,2,15000,8,1,league+knockout,0,70,5,3000
basketball,1,13500,10,8,league,0,65,3,2900
basketball,3,2000,16,6,league+knockout,0,50,3,500
football,1,10500,12,10,league,1,65,3,1800
kabaddi,2,5500,8,9,knockout,0,65,2,750
badminton,2,14000,20,2,league,0,50,3,1351
badminton,1,14000,14,2,league,0,55,3,2450
football,2,7500,16,11,league,0,70,4,1200
volleyball,1,25500,20,8,league+knockout,0,60,3,3000
kabaddi,3,2500,32,10,knockout,0,75,2,200
badminton,2,5000,16,1,league+knockout,0,55,4,700
basketball,3,5000,12,7,league,1,65,2,250
basketball,2,4000,8,7,league,0,70,2,1000
cricket,1,11000,8,12,league+knockout,0,60,5,4750
badminton,2,5500,16,3,league,0,40,4,700
volleyball,1,14500,24,8,league+knockout,0,50,3,1250
kabaddi,1,15500,8,12,league,0,65,2,3300
kabaddi,2,6500,16,8,knockout,0,45,1,500
badminton,2,5500,8,4,league,0,60,4,1500
cricket,2,9000,16,13,league+knockout,1,45,3,1500
cricket,1,14500,16,14,league,0,65,3,3100
volleyball,3,2000,8,6,league+knockout,0,50,3,500
cricket,3,3000,14,12,league+knockout,1,75,5,750
volleyball,3,2500,8,6,league,1,55,3,500
kabaddi,2,4000,14,11,league+knockout,0,45,4,700
badminton,2,8000,20,4,league+knockout,0,65,2,800
football,1,18000,12,9,league+knockout,1,45,5,3500
football,1,13500,16,11,league,0,50,4,2000
football,3,3000,16,11,league,0,60,4,500
basketball,3,2500,8,8,league,1,55,4,500
football,1,21000,8,10,knockout,0,55,2,4500
cricket,2,10000,16,13,league,0,70,3,1600
volleyball,1,17500,16,8,league+knockout,0,45,5,3000
football,2,3000,10,11,knockout,0,70,2,600
cricket,1,17500,12,11,league+knockout,1,50,5,4287
kabaddi,1,16000,8,12,league,0,55,2,3000
badminton,2,7500,6,3,league,1,55,3,1800
cricket,1,22500,16,15,knockout,0,40,1,2900
kabaddi,2,8000,8,7,league,1,45,2,1150
football,2,6000,24,8,league+knockout,0,40,3,800
volleyball,2,8500,16,7,league+knockout,1,45,2,1000
volleyball,2,8000,10,6,league+knockout,0,45,3,1700
basketball,1,20000,4,7,league+knockout,0,70,3,5000
cricket,3,6000,8,14,league+knockout,0,70,2,1490
badminton,3,1500,24,4,knockout,0,50,2,100
cricket,2,3500,8,11,knockout,1,65,2,1000
kabaddi,2,7500,16,11,league,0,55,2,750
football,3,4000,10,11,knockout,0,45,2,600
football,1,19500,12,10,knockout,0,45,2,2500
football,1,15500,16,8,league,0,60,4,2800
badminton,1,7500,20,3,knockout,1,45,1,750
basketball,1,16000,16,5,league,0,70,3,4000
football,1,18000,16,7,knockout,0,70,1,4000
kabaddi,2,7500,8,7,league+knockout,0,65,3,1750
volleyball,2,6000,16,6,league+knockout,0,45,3,750
cricket,3,5000,14,13,knockout,1,60,2,500
badminton,1,14500,10,2,league,0,70,2,2750
football,1,17000,4,11,league+knockout,0,40,4,5000
volleyball,2,11000,32,7,knockout,0,45,1,500
football,3,3000,16,9,league,0,45,4,500
kabaddi,1,11500,12,8,league,0,55,3,2000
volleyball,2,9500,8,6,league,0,45,2,1500
badminton,2,10000,32,2,league,0,70,3,1000
volleyball,2,8500,16,6,league,1,60,2,1000
badminton,2,5500,10,2,knockout,0,65,2,800
cricket,2,3500,8,11,league+knockout,0,55,3,1750
volleyball,2,9500,16,7,league,1,45,2,1000
volleyball,2,8000,24,7,knockout,0,70,1,400
volleyball,2,15000,16,6,knockout,0,50,2,1150
cricket,2,7500,16,14,league,0,75,3,1500
football,2,8500,20,8,league,0,75,2,1100
badminton,2,5000,10,3,league+knockout,0,50,2,1000
badminton,1,29500,16,2,league+knockout,1,45,3,4000
volleyball,1,26500,8,7,league+knockout,0,50,3,5000
volleyball,2,5000,4,8,league+knockout,0,50,3,2100
kabaddi,2,7500,6,7,knockout,0,55,1,1500
basketball,1,7000,16,7,knockout,0,50,1,1000
badminton,3,3500,32,4,knockout,0,60,2,196
volleyball,3,2500,32,8,league+knockout,0,75,4,200
football,2,10000,10,8,league,1,65,4,2950
basketball,1,8500,24,6,league,0,45,2,1000
volleyball,3,3000,16,8,knockout,1,60,2,100
badminton,1,12500,4,4,knockout,0,65,1,4250
kabaddi,2,6500,20,11,knockout,0,55,1,400
cricket,1,5000,32,11,knockout,0,65,1,750
cricket,2,6500,24,11,league+knockout,0,50,5,1500
football,3,7500,16,11,league,0,60,3,1000
basketball,2,6500,6,5,league,0,60,4,2000
cricket,1,30000,10,11,knockout,0,45,2,5000
volleyball,1,14000,12,7,league,1,65,2,2000
kabaddi,1,15000,16,8,league+knockout,1,45,2,1600
kabaddi,3,3000,16,10,league,1,65,4,300
basketball,3,3500,6,5,league,0,75,4,1000
cricket,3,2500,32,12,league,1,50,2,600
football,3,3000,20,9,league,0,45,2,500
badminton,3,1000,24,1,league,1,75,3,100
basketball,2,12000,24,5,league+knockout,0,45,4,1100
kabaddi,1,12000,16,10,league,0,55,3,1400
volleyball,2,4000,24,8,knockout,0,70,2,500
badminton,2,4500,20,1,league+knockout,1,55,3,600
badminton,1,20500,16,2,league,0,65,4,3250
badminton,3,5000,8,3,league,1,65,2,500
basketball,1,11500,20,5,knockout,0,70,1,1200
badminton,2,4500,12,1,league,0,55,3,750
kabaddi,2,6500,8,9,knockout,1,45,2,400
football,3,5000,16,9,league,0,70,2,634
volleyball,1,12000,16,8,league+knockout,1,55,4,1700
volleyball,3,2500,12,7,league,1,70,3,500
basketball,3,4500,8,7,knockout,0,60,2,750
badminton,3,4000,24,3,league,0,60,2,300
cricket,3,5000,16,13,league+knockout,0,40,5,1000
kabaddi,2,6000,16,11,league,1,60,4,700
volleyball,3,2500,16,8,league+knockout,0,50,3,250
volleyball,1,7500,20,6,league+knockout,1,60,2,1000
badminton,2,4500,12,3,league+knockout,0,45,5,1700
basketball,1,6000,14,8,league+knockout,0,65,2,1500
football,2,8000,24,10,league+knockout,0,50,2,900
football,2,6000,12,8,knockout,1,50,1,800
cricket,1,14000,12,14,league,1,65,2,4250
cricket,3,4000,16,11,league+knockout,0,55,3,1000
football,1,12000,10,7,league,1,60,3,2500
basketball,2,8000,32,7,league+knockout,1,70,4,500
kabaddi,1,8000,32,8,knockout,1,70,1,400
cricket,2,7500,20,15,league,0,45,4,1300
cricket,2,7500,12,15,league,0,50,2,1600
badminton,2,6000,16,2,knockout,0,45,1,500
kabaddi,1,15000,8,11,knockout,1,60,2,2000
kabaddi,3,4000,14,8,league,0,45,2,300
football,3,5500,6,7,league+knockout,1,55,5,1500
kabaddi,1,15500,24,9,league+knockout,0,60,5,2000
cricket,1,27500,16,13,knockout,0,70,2,4000
badminton,1,6500,32,3,league,1,70,3,500
cricket,1,11000,32,12,league,0,70,4,1500
kabaddi,3,4500,24,12,league,1,50,3,500
kabaddi,2,8000,16,7,knockout,1,75,1,500
badminton,2,5500,16,4,league,0,55,3,600
kabaddi,1,9500,24,11,league+knockout,0,50,5,1000
cricket,3,2500,10,13,knockout,0,55,2,500
kabaddi,2,5000,8,10,league,0,45,3,1000
kabaddi,2,9000,4,7,league,1,60,4,2900
kabaddi,3,2500,6,8,knockout,1,60,2,500
kabaddi,1,11000,8,9,league+knockout,0,60,4,3000
football,2,15000,16,10,league+knockout,0,50,3,2150
football,2,11500,16,7,league+knockout,1,40,2,1250
volleyball,2,7000,32,6,league,0,45,4,600
kabaddi,3,3000,24,12,league+knockout,0,50,2,300
badminton,2,9500,32,2,knockout,0,60,2,500
kabaddi,2,9500,16,12,league+knockout,0,60,3,1200
badminton,2,9000,8,2,league+knockout,0,60,2,1800
basketball,2,5500,12,7,league,1,65,2,1000
football,1,13500,8,8,knockout,1,55,1,2600
badminton,1,15000,10,4,league,0,75,2,2800
football,2,8500,16,7,league+knockout,1,65,5,1441
badminton,3,4500,16,2,knockout,0,70,1,400
volleyball,2,10000,16,6,league,1,50,3,922
cricket,1,13500,16,14,knockout,0,55,2,1800
badminton,1,16500,24,1,league,0,60,4,2900
volleyball,2,8000,16,6,league+knockout,1,60,3,750
basketball,1,9000,12,7,league,0,55,4,2250
football,3,3500,14,11,league,1,40,2,500
volleyball,2,7500,32,8,league,1,65,2,500
badminton,1,20500,20,4,league,0,60,4,2250
cricket,1,14500,16,11,league+knockout,0,55,3,3000
cricket,1,12000,24,14,league+knockout,0,45,3,1500
cricket,1,15500,16,15,league+knockout,1,55,5,3100
kabaddi,2,12000,8,7,knockout,0,45,1,1500
basketball,1,13000,10,5,league+knockout,0,70,5,3800
kabaddi,1,25000,16,11,knockout,0,50,2,2200
volleyball,2,11000,4,8,league+knockout,0,40,2,3000
basketball,3,4000,16,7,knockout,0,70,1,500
badminton,1,14500,20,1,knockout,1,75,2,1000
volleyball,1,11500,16,7,knockout,1,60,1,1000
badminton,2,15000,10,4,league+knockout,0,60,3,2750
badminton,3,3000,10,2,knockout,1,65,2,500
volleyball,2,13500,12,7,league,0,45,2,1500
badminton,3,3000,16,3,knockout,1,45,1,200
volleyball,1,8000,12,8,league,0,40,4,1350
basketball,2,5000,12,6,league+knockout,1,60,3,1000
kabaddi,2,7000,8,11,knockout,0,70,1,1000
basketball,2,13500,16,8,league+knockout,1,40,3,1500
badminton,2,10500,8,3,knockout,0,70,1,2500
basketball,2,7000,16,6,knockout,0,65,2,850
cricket,2,4500,24,15,knockout,0,60,2,750
cricket,2,7500,8,11,knockout,0,55,1,2000
basketball,2,8000,8,7,knockout,1,70,2,1600
volleyball,3,3000,6,8,knockout,0,50,1,500
football,1,11000,32,11,knockout,1,40,2,500
basketball,3,3000,8,8,league+knockout,0,50,4,800
kabaddi,2,12500,12,8,knockout,0,50,2,1200
football,2,5000,6,11,league,0,45,2,1500
basketball,2,6000,24,8,knockout,0,65,1,500
kabaddi,3,4000,16,12,knockout,1,45,2,250
football,3,6500,16,11,knockout,0,50,1,600
basketball,2,5500,12,6,league,0,60,3,1000
volleyball,2,8000,16,8,knockout,0,55,2,750
basketball,2,9500,16,7,knockout,1,60,2,1000
volleyball,1,13000,20,6,knockout,0,70,2,1000
basketball,2,4000,8,5,league,1,50,3,1000
cricket,1,14000,16,14,knockout,1,65,2,2100
football,2,6000,8,11,league,0,40,4,1700
basketball,1,14000,8,5,knockout,1,45,2,2750
kabaddi,2,15000,4,12,knockout,0,45,2,3000
basketball,2,6000,8,6,league+knockout,0,65,2,1750
cricket,2,9500,10,11,league,1,55,4,2400
volleyball,2,9000,14,6,knockout,1,70,2,700
kabaddi,1,17500,16,8,knockout,0,55,2,1750
basketball,1,19500,8,5,league+knockout,0,60,2,5000
badminton,2,11000,8,2,league+knockout,0,50,3,2850
football,1,24500,20,9,league+knockout,0,45,2,3300
volleyball,2,6500,20,6,knockout,1,65,2,438
basketball,3,6000,32,7,league,0,50,2,500
basketball,1,16000,24,6,knockout,0,45,2,1500
volleyball,1,14000,10,8,league,1,50,4,2500
basketball,2,8000,12,8,knockout,1,65,2,1000
football,2,4000,16,7,league+knockout,1,55,5,1000
volleyball,1,18000,8,7,league+knockout,0,75,4,5000
basketball,3,3000,8,6,knockout,0,55,2,500
volleyball,2,8000,16,7,knockout,0,65,1,700
basketball,1,13500,16,6,league,1,60,3,1750
volleyball,2,9000,16,7,knockout,0,50,1,700
kabaddi,2,6000,20,7,league,0,60,2,600
volleyball,1,21500,8,7,league,1,65,4,4174
kabaddi,1,15000,8,8,league+knockout,0,45,3,3500
cricket,3,6000,6,14,league,0,45,2,1500
volleyball,3,3000,8,8,knockout,0,50,1,500
cricket,2,13500,10,14,league+knockout,0,75,4,3000
volleyball,2,6000,12,8,league,0,65,4,1000
badminton,2,4000,8,3,knockout,0,55,1,500
football,2,8500,4,10,league,1,70,3,2000
football,3,2500,8,11,league,0,55,2,600
kabaddi,1,15500,16,11,knockout,1,55,2,1250
badminton,2,4500,8,3,league+knockout,0,70,5,1500
football,2,9500,32,7,knockout,0,45,2,600
volleyball,1,29500,4,6,knockout,0,60,2,5000
cricket,2,4000,32,11,league+knockout,0,65,2,1000
badminton,3,3500,8,2,league+knockout,0,70,3,500
kabaddi,2,6500,16,8,knockout,0,60,2,600
volleyball,3,2000,8,8,league,0,65,2,500
cricket,1,13500,4,13,league,0,65,2,4600
kabaddi,2,8500,20,8,knockout,0,45,2,603
volleyball,1,17500,8,8,knockout,1,50,2,2763
volleyball,3,4500,12,6,league+knockout,0,65,4,500
cricket,2,8000,10,14,league,0,50,4,2300
badminton,3,3500,24,2,league,0,50,3,500
badminton,2,5500,14,2,league+knockout,1,65,3,1000
basketball,3,3500,16,6,knockout,0,60,2,500
basketball,2,7500,24,6,knockout,1,50,1,500
basketball,2,10000,14,7,knockout,0,55,1,700
cricket,2,6000,12,14,league,1,45,4,1000
cricket,3,3000,8,15,knockout,0,55,2,500
football,2,4000,16,11,league+knockout,0,45,4,1000
kabaddi,3,5000,8,10,knockout,0,50,2,600
basketball,3,2500,12,8,knockout,1,60,1,500
basketball,3,3500,32,8,knockout,1,40,1,200
basketball,1,25500,4,6,league+knockout,0,60,2,5000
badminton,3,3500,16,2,league,0,70,3,500
basketball,1,15000,10,8,knockout,0,55,1,2100
football,2,6500,16,7,league+knockout,0,60,2,1000
cricket,3,2500,10,14,league+knockout,0,45,3,800
cricket,2,15000,6,15,league,0,75,4,3000
football,1,11000,32,10,league,1,70,2,1000
kabaddi,1,24500,14,12,knockout,0,65,2,2750
volleyball,1,14500,16,7,knockout,0,50,1,1000
kabaddi,2,9500,8,12,league+knockout,0,65,4,2000
volleyball,1,20000,32,8,knockout,1,70,1,900
football,1,21500,16,7,knockout,0,45,1,2250
badminton,1,23500,8,4,league,0,60,2,5000
basketball,2,15000,14,6,knockout,0,40,2,1500
cricket,1,28000,8,15,knockout,0,70,1,5000
volleyball,3,3000,24,6,league,0,65,2,250
volleyball,1,12500,24,8,knockout,0,50,2,900
cricket,1,17500,10,14,league,1,40,3,3750
badminton,1,14000,14,1,league+knockout,0,65,2,2750
football,1,28000,16,7,league+knockout,1,75,3,4300
kabaddi,3,3500,10,11,league+knockout,0,50,3,500
volleyball,3,4500,12,6,league+knockout,0,50,4,500
volleyball,1,12500,24,8,knockout,0,60,2,1000
volleyball,3,4000,24,7,league+knockout,0,50,2,500
basketball,2,6000,16,6,league,0,40,3,1000
football,2,4500,16,9,league,0,65,3,500
football,1,15500,4,9,league+knockout,1,55,3,5000
kabaddi,3,7000,10,10,league,1,65,3,700
kabaddi,2,11000,24,11,knockout,0,75,1,500
cricket,3,3500,16,11,knockout,0,75,1,500
badminton,3,4500,8,3,knockout,0,45,1,500
cricket,2,13000,20,15,knockout,0,65,2,1500
basketball,3,3000,24,5,league+knockout,0,50,2,400
volleyball,2,9000,12,8,league,0,50,3,1000
football,3,3000,16,8,league,0,50,2,500
badminton,2,7000,12,2,league+knockout,0,50,3,1000
kabaddi,3,4500,4,10,league,0,70,3,1000
basketball,1,19000,8,6,league+knockout,0,50,2,4000
cricket,2,11500,10,11,league+knockout,0,65,3,2500
volleyball,2,6000,20,6,league,1,65,2,500
badminton,3,2000,16,1,league+knockout,0,50,2,500
basketball,2,6000,8,5,knockout,0,75,1,1200
volleyball,1,13500,10,8,league,0,60,2,2500
volleyball,2,7500,8,8,league,0,60,2,600
cricket,2,10500,16,14,knockout,0,60,2,1400
cricket,2,4000,8,11,league,0,70,4,1500
volleyball,2,13000,16,6,knockout,1,50,2,950
